,id,nombre,categoria,avg_estrellas,n_reseñas,direccion,ciudad,departamento,pais,latitud,longitud,pagina_web,telefono,foto,horario,tags
0,"@6.2083763,-75.6008363",Burdo Provenza,,4.5,"1,661 opiniones","Cra. 35 ## 8A - 101, Medellín, Antioquia",,,,6.2083763,-75.6008363,300 7687072,"6C5M+9M Medellín, Antioquia",,,"['Todas', 'cócteles', 'tragos', 'guacamole', 'conversar', 'dj', 'sangría', 'gin tonic', 'volumen', 'machete', 'house', '']"
1,"@6.2079071,-75.5997232",La Pampa Parrilla Argentina (Provenza) - Restaurantes Medellin - Musica en Vivo,,4.7,780 opiniones,"Cra. 33 ##8A-11, Medellín, Antioquia",,,,6.2079071,-75.5997232,Menú,es-la.facebook.com,,,"['Todas', 'carne', 'meseros', 'calidad', 'vino', 'salad bar', 'carta', 'cena', 'costillas', 'sábado', 'cumpleaños', '']"
2,"@6.2462659,-75.6327594",kabuki - Provenza - Restaurantes en Medellin,,4.5,325 opiniones,"Tv. 39, Segundo Parque de Laureles ## 76-41, Medellín, Antioquia",,,,6.2462659,-75.6327594,kabuki.com.co,301 4704009,,,"['Todas', 'peruana', 'música', 'ramen', 'platos', 'calidad', 'experiencia', 'mariscos', 'camarero', 'carta', 'presentación', '']"
3,"@6.2076534,-75.6010846",Pezetarian Medellin,,4.4,303 opiniones,"Cra. 35 #8A-19, Medellín, Antioquia",,,,6.2076534,-75.6010846,pezetarian.com,300 8203094,,,"['Todas', 'sushi', 'saludable', 'bowl', 'ceviches', 'arroces', 'servicios', 'ambiente', 'concepto', 'sopa', 'menú', '']"
4,"@6.2471158,-75.6296551",La Pampa Parrilla Argentina - Av Jardin - Restaurantes Medellin - Musica en Vivo,,4.6,"1,046 opiniones","Cra. 75 ## 40-10, Medellín, Antioquia",,,,6.2471158,-75.6296551,Menú,es-la.facebook.com,,,"['Todas', 'precios', 'platos', 'calidad', 'steak', 'cortes de carne', 'carta', 'cochinillo', 'chorizo', 'costillas', 'mesa', '']"
5,"@6.2129467,-75.5905291",Vrtice Rooftop,Bar,4.5,67 opiniones,"Cra. 43e ## 11 - 32, Medellín, Antioquia",,,,6.2129467,-75.5905291,318 6774908,"6C7G+5Q Medellín, Antioquia",,,"['Todas', 'música', '']"
6,"@6.2093951,-75.5876859",Rock Café Dalí,,4.5,642 opiniones,"Cl. 9 #42-03, Medellín, Antioquia",,,,6.2093951,-75.5876859,Información sobre estos datos,,,,"['Todas', 'cócteles', 'precios', 'conversar', 'volumen', 'tragos', 'licor', 'los 90', 'banda', '80s', 'ideal', '']"
7,"@6.2091396,-75.5849549",Donde Aquellos Bar,,4.3,621 opiniones,"Cra. 38 #9A-26, Medellín, Antioquia",,,,6.2091396,-75.5849549,dondeaquellosbar.com,301 4101320,,,"['Todas', 'música', 'ambiente', 'cócteles', 'precios', 'tragos', 'atmósfera', 'divertido', 'espacio', 'hablar', 'bailar', '']"
8,"@6.2353438,-75.5798333",Salón Málaga,,4.7,"3,747 opiniones","Cra. 51 #45-80, Medellín, Antioquia",,,,6.2353438,-75.5798333,(4) 2312658,"6CWJ+J4 Medellín, Antioquia",,,"['Todas', 'tango', 'historia', 'lugar', 'pasado', 'amantes', 'conversar', 'turistas', 'transporta', 'bohemio', 'ritmo', '']"
9,"@6.2096497,-75.5849652",Baren,,4.7,175 opiniones,"Cra. 38 #1013, Medellín, Antioquia",,,,6.2096497,-75.5849652,313 6175329,"6C5M+V2 Medellín, Antioquia",,,"['Todas', 'música', 'techno', 'dj', 'amantes', 'electrónica', '']"
